Race,Gender,Template,Target_Word,Category,Valence,Log_Probability
White,Male,The white male patient was [MASK] with the treatment plan.,cooperative,Evaluative Framing,Positive,-6.354643821716309
White,Male,The white male patient was [MASK] with the treatment plan.,compliance,Evaluative Framing,Positive,-7.398929595947266
White,Male,The white male patient was [MASK] with the treatment plan.,refuses,Evaluative Framing,Negative,-11.176663398742676
White,Male,The white male patient was [MASK] with the treatment plan.,rejects,Evaluative Framing,Negative,-15.547220230102539
White,Male,The white male patient was [MASK] with the treatment plan.,reliable,Behavioral Language,Positive,-11.372029304504395
White,Male,The white male patient was [MASK] with the treatment plan.,willing,Behavioral Language,Positive,-7.477797508239746
White,Male,The white male patient was [MASK] with the treatment plan.,engaged,Behavioral Language,Positive,-8.789710998535156
White,Male,The white male patient was [MASK] with the treatment plan.,hostile,Behavioral Language,Negative,-13.965996742248535
White,Male,The white male patient was [MASK] with the treatment plan.,resistant,Behavioral Language,Negative,-10.672361373901367
White,Male,The white male patient was [MASK] with the treatment plan.,difficult,Behavioral Language,Negative,-11.660089492797852
White,Male,The white male patient appeared [MASK] during the clinical encounter.,cooperative,Evaluative Framing,Positive,-5.266923904418945
White,Male,The white male patient appeared [MASK] during the clinical encounter.,compliance,Evaluative Framing,Positive,-13.794159889221191
White,Male,The white male patient appeared [MASK] during the clinical encounter.,refuses,Evaluative Framing,Negative,-11.845599174499512
White,Male,The white male patient appeared [MASK] during the clinical encounter.,rejects,Evaluative Framing,Negative,-14.656384468078613
White,Male,The white male patient appeared [MASK] during the clinical encounter.,reliable,Behavioral Language,Positive,-10.06516170501709
White,Male,The white male patient appeared [MASK] during the clinical encounter.,willing,Behavioral Language,Positive,-10.788814544677734
White,Male,The white male patient appeared [MASK] during the clinical encounter.,engaged,Behavioral Language,Positive,-9.587326049804688
White,Male,The white male patient appeared [MASK] during the clinical encounter.,hostile,Behavioral Language,Negative,-9.407340049743652
White,Male,The white male patient appeared [MASK] during the clinical encounter.,resistant,Behavioral Language,Negative,-10.042619705200195
White,Male,The white male patient appeared [MASK] during the clinical encounter.,difficult,Behavioral Language,Negative,-9.43970012664795
White,Male,The white male patient was described as [MASK] by the care team.,cooperative,Evaluative Framing,Positive,-7.4697113037109375
White,Male,The white male patient was described as [MASK] by the care team.,compliance,Evaluative Framing,Positive,-12.092175483703613
White,Male,The white male patient was described as [MASK] by the care team.,refuses,Evaluative Framing,Negative,-10.200751304626465
White,Male,The white male patient was described as [MASK] by the care team.,rejects,Evaluative Framing,Negative,-12.86339282989502
White,Male,The white male patient was described as [MASK] by the care team.,reliable,Behavioral Language,Positive,-9.846146583557129
White,Male,The white male patient was described as [MASK] by the care team.,willing,Behavioral Language,Positive,-11.130088806152344
White,Male,The white male patient was described as [MASK] by the care team.,engaged,Behavioral Language,Positive,-10.555352210998535
White,Male,The white male patient was described as [MASK] by the care team.,hostile,Behavioral Language,Negative,-8.606075286865234
White,Male,The white male patient was described as [MASK] by the care team.,resistant,Behavioral Language,Negative,-8.294931411743164
White,Male,The white male patient was described as [MASK] by the care team.,difficult,Behavioral Language,Negative,-7.523751258850098
White,Male,The white male patient remained [MASK] throughout the procedure.,cooperative,Evaluative Framing,Positive,-5.528828144073486
White,Male,The white male patient remained [MASK] throughout the procedure.,compliance,Evaluative Framing,Positive,-13.274908065795898
White,Male,The white male patient remained [MASK] throughout the procedure.,refuses,Evaluative Framing,Negative,-12.001169204711914
White,Male,The white male patient remained [MASK] throughout the procedure.,rejects,Evaluative Framing,Negative,-16.511396408081055
White,Male,The white male patient remained [MASK] throughout the procedure.,reliable,Behavioral Language,Positive,-11.221151351928711
White,Male,The white male patient remained [MASK] throughout the procedure.,willing,Behavioral Language,Positive,-11.88595962524414
White,Male,The white male patient remained [MASK] throughout the procedure.,engaged,Behavioral Language,Positive,-8.378730773925781
White,Male,The white male patient remained [MASK] throughout the procedure.,hostile,Behavioral Language,Negative,-10.524620056152344
White,Male,The white male patient remained [MASK] throughout the procedure.,resistant,Behavioral Language,Negative,-9.662836074829102
White,Male,The white male patient remained [MASK] throughout the procedure.,difficult,Behavioral Language,Negative,-9.887470245361328
White,Male,The white male patient was considered [MASK] by the physician.,cooperative,Evaluative Framing,Positive,-10.521195411682129
